namn;adress;oppet_tider;bar_typ;stadsdel;betyg;hemside_lank;intrade;iframe_lank;
Kellys;Folkungagatan 49,116 22 Stockholm;16-03,16-03,16-03,16-03,16-03,16-03,16-03;bar;söder;betyg;http://kellysbar.se/;20kr Garderob;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2036.1076553101877!2d18.072471616071663!3d59.31445928165361!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x465f77fa6e38fd49%3A0x76f561b83359a005!2sKelly&#39;s+bar!5e0!3m2!1ssv!2sse!4v1456517235376;
Charles Dickens;Folkungagatan 55,116 22 Stockholm;15-00,15-00,15-00,15-00,15-03,12-03,12-23;Bar;Söder;Betyg;http://charlesdickensstockholm.se/;0;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1018.051597997961!2d18.075237553362975!3d59.31453374602455!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0000000000000000%3A0xb7e876fd53a73764!2sCharles+Dickens+Restaurant!5e0!3m2!1ssv!2sse!4v1456517647374;
Bara Bistro Bar;Östgötagatan 33,116 25 Stockholm;15-01,15-01,15-01,15-01,15-02,15-02,stängt;Bar och Restaurang;Söder;Okej mat;http://baras.se/;0;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2036.0725980680031!2d18.07378060504237!3d59.315044687485866!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0000000000000000%3A0xd0faf61e2fb5a406!2sBara+Bistro+Bar!5e0!3m2!1ssv!2sse!4v1456517946232;
